,s.area,s.perimeter,s.radius.mean,s.radius.sd,s.radius.min,s.radius.max,id,m.cx,m.cy,m.majoraxis,m.eccentricity,m.theta
282,226,66,8.48222493,2.821556436,3.413397953,13.13737719,282,830.5505552,540.2587996,26.63198262,0.887599103,1.123325183
283,113,32,5.548647663,0.353013438,4.882406233,6.186710808,283,1510.778218,502.1059334,11.2784106,0.287482286,0.49398053
284,363,86,9.986897066,3.556826711,2.237458285,16.1758271,284,479.5442272,460.8057682,31.79852571,0.873871262,-0.225606878
285,181,48,7.293645001,1.364944124,4.85649086,9.88486234,285,1875.832334,607.8422175,17.35476016,0.606750274,1.283015939
286,319,104,11.04539558,4.080343072,0.442934339,18.97782204,286,1170.957226,61.06256326,29.405433,0.622500126,0.386480181
287,479,131,11.54473127,4.615498775,2.228445501,20.2907383,287,1297.767254,448.6924579,40.81073642,0.850279086,1.291939712
288,193,63,7.001090761,2.314544048,1.620991674,10.01628807,288,1790.199184,468.529919,16.87642895,0.282521614,-1.377055237
289,137,36,6.165695342,0.649385053,5.036671079,7.507866245,289,450.3187167,656.3818326,13.03109608,0.597472294,0.138953219
290,215,52,7.897708355,1.907654717,4.010387769,11.46426465,290,1711.316776,529.7851297,20.32406054,0.796725829,0.008944873
291,307,65,10.17444034,3.336342019,3.602825978,15.39116784,291,365.0467117,336.8369241,30.6829729,0.904418615,0.899618148
292,143,37,6.31721623,0.674601632,4.867416748,7.79395919,292,1009.236757,562.2784527,14.7557368,0.625654191,-1.384218498
293,173,56,6.956730044,1.82631109,2.936943608,10.11808469,293,410.901232,445.5971931,17.42935766,0.582846197,1.020166464
294,116,32,5.63432428,0.317914446,5.01842309,6.199562107,294,1205.811643,335.7133527,10.98124142,0.325093167,-1.333106707
295,229,69,8.448456699,2.640182822,1.806020411,14.36484132,295,770.2674049,51.93214282,23.86502121,0.782282572,0.509589905
296,535,121,15.68204267,7.171871417,2.60985664,28.07312964,296,1913.447807,490.9319281,53.60373943,0.96272562,-0.53027102
297,194,48,7.504392859,1.69534421,3.549867955,10.07976004,297,489.4592539,556.1232253,19.95941815,0.853888933,0.051092713
298,264,66,8.81054652,2.315373632,3.211906797,12.75935711,298,1633.938103,513.212123,23.41877899,0.841508792,0.827446833
299,259,64,8.615662142,2.361982135,3.103047897,12.08837898,299,630.4206232,665.7648452,23.38823541,0.797302341,-1.222796316
300,334,95,9.885662148,3.29085019,3.335895599,15.31396987,300,1508.302574,387.9284837,28.79084472,0.719789687,0.484442829
301,331,80,10.29942289,3.940793944,1.286285835,16.40516782,301,1280.13759,522.3091794,34.19824677,0.913112827,1.47254273
302,111,33,5.476409202,0.408515992,4.848579545,6.402622282,302,1734.549265,494.3534122,11.47656721,0.408320532,1.149022132
303,166,45,7.030182848,2.045829421,3.233848756,10.48448589,303,1220.451271,565.3870365,21.88687854,0.875847832,0.797162685
304,149,40,6.528821308,1.120877928,4.398081968,8.726002808,304,305.4786798,267.5649428,15.49149414,0.76056901,0.414727686
305,176,45,7.359981744,1.783754422,4.514667454,10.71364654,305,1961.552979,509.8071288,18.92907613,0.851886566,-0.979114288
306,123,34,5.807774866,0.475008898,4.809610477,6.865300645,306,1628.102761,537.6217396,11.68216298,0.491446792,0.543634864
307,120,33,5.741926046,0.4042709,4.943946591,6.302010407,307,1005.089847,370.3397732,12.22665891,0.42165175,1.084586753
308,225,60,8.476597165,2.406084984,3.597414195,12.53294547,308,574.2023962,994.8031784,22.7203871,0.728552405,-1.223647882
309,240,82,9.21478136,3.457470796,1.937950308,17.24074988,309,140.1632292,246.7944546,29.51039439,0.889789307,-1.472016281
310,188,58,7.51449061,2.516479424,1.798400664,11.35446609,310,1663.862559,443.188153,22.00374473,0.82165755,-1.410568978
311,150,41,6.508726027,0.831750993,5.143624297,8.515025038,311,781.3990477,655.8210601,14.55869965,0.488371385,0.277499485
312,120,34,5.768809831,0.518083959,4.564512579,7.260656171,312,589.5461173,589.7818561,12.44642959,0.491867253,-0.668250737
313,177,51,7.667360684,2.137643422,3.306989325,11.5790083,313,2360.331205,53.59093091,18.16777572,0.80944609,0.74351655
314,176,55,7.631216642,2.132604894,3.52112867,11.50960792,314,1234.095439,543.2616622,20.0016082,0.777780082,1.095364347
315,129,41,6.236330443,1.597673606,3.763692037,8.901603703,315,1232.921082,668.694264,14.33432531,0.759978953,0.198029568
316,257,61,8.950554086,2.698486688,4.178302306,13.02705307,316,1323.443339,427.3683646,27.91017616,0.908219892,-0.136071931
317,148,40,6.467859473,0.855084109,4.884733872,7.817328508,317,1704.93621,570.2277986,13.71563582,0.544504871,-0.141612875
318,303,80,10.06991304,3.618331112,3.212013582,16.47777386,318,93.02895713,268.9199605,32.24051276,0.85991424,-1.525307689
319,122,34,5.818074143,0.472803004,4.948261727,6.958913032,319,397.4203346,364.8191922,12.79583483,0.516698786,0.576783042
320,130,36,6.044562854,0.833048488,4.348353598,7.551111847,320,720.3149138,505.5344422,14.06880007,0.590046276,1.06759515
321,188,67,7.572679943,2.008343783,2.107597983,10.80879406,321,733.5049999,83.2979113,18.70738596,0.599192356,-0.80179052
322,188,55,7.541320826,1.969658493,2.859405244,10.88926987,322,1214.960913,88.75113313,20.23716441,0.785701398,-1.384964173
323,142,47,6.481718509,1.264481761,4.253297392,9.145694626,323,1497.775567,466.9031028,13.63202433,0.415589739,-1.467288591
324,112,33,5.606899099,0.828088864,4.288601502,7.234051202,324,1361.402113,567.7135539,11.12659683,0.581245129,-1.475631671
325,193,56,7.453951865,1.946957219,2.83563332,10.10152545,325,1216.877094,543.2893391,18.56241091,0.580390903,-1.038636527
326,228,53,8.307020371,2.428214353,3.242264941,11.83227992,326,718.035283,527.450912,24.37234796,0.890002243,-1.136322589
327,120,34,5.796432981,0.802772871,4.347870656,7.51613029,327,800.8783425,483.1152374,13.11490329,0.711166351,0.15811667
328,104,31,5.303554278,0.304820534,4.670294908,5.932853555,328,1734.015416,512.4813507,11.17272653,0.274201372,1.071716344
329,285,64,9.632138589,1.906245374,6.150000794,13.92538185,329,171.9354492,821.9987491,25.50922783,0.780397055,1.300607744
330,104,30,5.323948441,0.426895384,4.465422712,6.126989473,330,1870.843293,983.492737,10.50925524,0.556598845,-0.947792916
331,150,43,6.53772642,1.552452029,2.954952942,9.118681458,331,1266.085591,721.7550885,16.16295384,0.652449471,-0.957570392
332,281,93,10.27832009,3.382950551,2.787830117,16.22284189,332,853.952706,88.67086365,28.75860342,0.831021368,-1.086444769
333,174,52,7.433994019,2.420665913,3.432193995,11.62437566,333,604.8312872,448.0847426,21.94582151,0.882816218,0.495045701
334,271,78,8.529419417,2.555625181,1.255690532,13.66118738,334,364.4170879,584.0037447,22.3155948,0.636997936,0.886078397
335,129,35,5.979066703,0.878394952,4.348304854,7.463762798,335,1980.744911,526.6457114,12.71273132,0.691317546,-0.317355273
336,287,80,9.716474988,3.178829588,4.568660225,15.81605691,336,1518.470974,564.5244549,30.07359038,0.894448719,-0.235324602
337,118,33,5.712377224,0.745087911,4.427354655,6.90816049,337,411.4470489,612.7782897,12.32506521,0.610744925,-0.627104732
338,243,69,8.877849912,2.760783257,3.898658476,14.24921463,338,1152.245568,621.5279976,25.23183694,0.858167741,1.235555869
339,135,37,6.243247945,1.110057488,4.300270941,8.564881496,339,1643.80063,430.1036584,15.26728529,0.731588001,1.179464775
340,98,29,5.148068807,0.314725668,4.435560549,5.876756448,340,321.851953,282.2635785,11.16772515,0.412908167,-0.551880121
341,126,35,5.976160389,0.984676921,4.212420895,7.696116169,341,1151.491082,686.3979486,12.33387884,0.71338969,0.897381192
